Format;expected_answer;given_answer;is_correct;time_in_milliseconds;
CamelCase;3;3;true;2944;
Snake_case;1;1;true;2189;
CamelCase;1;1;true;2069;
Snake_case;1;1;true;8394;
CamelCase;3;3;true;1420;
CamelCase;3;3;true;1574;
Snake_case;1;1;true;1088;
CamelCase;3;3;true;1220;
CamelCase;7;7;true;3861;
CamelCase;4;4;true;1835;
CamelCase;6;6;true;7841;
CamelCase;2;1;false;1941;
Snake_case;2;2;true;1237;
Snake_case;5;5;true;2152;
Snake_case;1;1;true;1305;
Snake_case;6;3;false;5080;
CamelCase;1;1;true;858;
CamelCase;1;1;true;851;
CamelCase;3;3;true;1401;
CamelCase;2;2;true;1578;
Snake_case;5;5;true;1819;
Snake_case;1;1;true;701;
CamelCase;2;1;false;584;
CamelCase;8;7;false;11268;
CamelCase;4;4;true;5109;
Snake_case;2;2;true;1461;
Snake_case;1;1;true;773;
Snake_case;2;2;true;861;
CamelCase;3;3;true;1965;
Snake_case;3;3;true;1174;
Snake_case;1;1;true;722;
Snake_case;2;2;true;2262;
CamelCase;2;2;true;854;
CamelCase;5;5;true;3516;
Snake_case;5;5;true;4084;
Snake_case;3;3;true;1704;
Snake_case;2;2;true;987;
Snake_case;2;2;true;941;
Snake_case;1;1;true;811;
CamelCase;1;1;true;976;
CamelCase;3;3;true;1746;
Snake_case;4;4;true;1974;
CamelCase;2;2;true;1089;
CamelCase;1;1;true;677;
Snake_case;1;1;true;769;
Snake_case;2;2;true;1048;
Snake_case;1;1;true;1631;
Snake_case;2;2;true;1583;
CamelCase;1;1;true;3439;
CamelCase;1;1;true;775;
CamelCase;2;2;true;3867;
Snake_case;1;1;true;1435;
Snake_case;4;4;true;2022;
Snake_case;4;4;true;2247;
CamelCase;3;3;true;1774;
Snake_case;3;3;true;1084;
CamelCase;5;5;true;2680;
CamelCase;1;1;true;1938;
CamelCase;1;1;true;792;
Snake_case;1;1;true;748;
CamelCase;5;5;true;1559;
Snake_case;2;2;true;1608;
CamelCase;1;1;true;733;
Snake_case;2;2;true;849;
CamelCase;1;1;true;560;
CamelCase;1;1;true;626;
Snake_case;1;1;true;689;
CamelCase;2;2;true;881;
CamelCase;3;3;true;1975;
CamelCase;3;3;true;1177;
CamelCase;1;1;true;782;
CamelCase;2;2;true;1058;
Snake_case;1;1;true;705;
Snake_case;2;2;true;829;
Snake_case;1;1;true;720;
Snake_case;2;2;true;614;
CamelCase;1;1;true;703;
CamelCase;2;2;true;911;
CamelCase;4;4;true;1680;
CamelCase;1;1;true;717;
Snake_case;3;3;true;2175;
Snake_case;2;2;true;1393;
CamelCase;4;5;false;1779;
CamelCase;1;1;true;821;
CamelCase;1;1;true;682;
Snake_case;3;3;true;1557;
Snake_case;2;2;true;875;
Snake_case;1;1;true;849;
CamelCase;3;3;true;1898;
Snake_case;2;2;true;771;
Snake_case;3;3;true;2224;
Snake_case;1;1;true;728;
CamelCase;1;1;true;693;
CamelCase;4;4;true;1614;
Snake_case;6;6;true;3077;
Snake_case;5;5;true;1920;
Snake_case;1;1;true;1791;
Snake_case;3;3;true;1865;
Snake_case;3;3;true;1023;
CamelCase;3;3;true;703;
CamelCase;2;2;true;916;
Snake_case;2;2;true;700;
CamelCase;2;2;true;641;
CamelCase;3;3;true;1259;
Snake_case;5;5;true;1948;
Snake_case;3;3;true;1279;
Snake_case;3;3;true;1068;
Snake_case;2;2;true;838;
CamelCase;2;2;true;876;
CamelCase;3;3;true;1352;
CamelCase;1;1;true;760;
Snake_case;4;4;true;1599;
Snake_case;2;2;true;817;
Snake_case;2;2;true;634;
CamelCase;4;4;true;1719;
Snake_case;1;1;true;2144;
CamelCase;1;1;true;788;
CamelCase;4;4;true;2030;
CamelCase;3;3;true;1484;
Snake_case;1;1;true;706;
