Format;expected_answer;given_answer;is_correct;time_in_milliseconds;
CamelCase;7;7;true;2825;
CamelCase;5;4;false;1293;
Snake_case;3;3;true;1257;
CamelCase;5;5;true;1521;
CamelCase;5;5;true;1300;
Snake_case;4;4;true;1390;
Snake_case;3;3;true;946;
Snake_case;9;9;true;3642;
CamelCase;2;2;true;1124;
CamelCase;2;2;true;756;
Snake_case;4;4;true;1098;
CamelCase;4;4;true;1080;
CamelCase;8;9;false;3451;
Snake_case;2;2;true;1319;
Snake_case;5;5;true;1704;
Snake_case;2;2;true;870;
CamelCase;9;9;true;2558;
Snake_case;7;7;true;2573;
CamelCase;2;2;true;983;
Snake_case;9;9;true;2986;
CamelCase;2;2;true;1213;
CamelCase;1;1;true;944;
Snake_case;5;5;true;1498;
CamelCase;3;3;true;1384;
CamelCase;8;9;false;2869;
CamelCase;6;6;true;3372;
CamelCase;7;6;false;1770;
CamelCase;5;5;true;2969;
Snake_case;4;4;true;1317;
Snake_case;5;5;true;1700;
Snake_case;4;4;true;1494;
Snake_case;1;1;true;810;
CamelCase;2;1;false;640;
CamelCase;4;4;true;1571;
CamelCase;8;8;true;3335;
CamelCase;1;1;true;1375;
Snake_case;5;5;true;1742;
Snake_case;7;7;true;2294;
CamelCase;7;7;true;2919;
CamelCase;1;1;true;1319;
CamelCase;7;7;true;4625;
Snake_case;5;5;true;1603;
Snake_case;9;9;true;4611;
Snake_case;2;2;true;1155;
CamelCase;6;6;true;2145;
Snake_case;2;2;true;1042;
Snake_case;7;7;true;2172;
Snake_case;5;5;true;1301;
CamelCase;5;5;true;1563;
CamelCase;4;4;true;1425;
Snake_case;5;5;true;1383;
Snake_case;9;9;true;3013;
Snake_case;9;9;true;2606;
Snake_case;2;2;true;1041;
Snake_case;3;3;true;1369;
CamelCase;2;2;true;1205;
CamelCase;4;4;true;2082;
Snake_case;1;1;true;814;
CamelCase;7;7;true;4295;
CamelCase;9;8;false;5775;
Snake_case;5;2;false;1617;
Snake_case;5;5;true;1654;
Snake_case;8;7;false;3884;
Snake_case;3;3;true;1554;
CamelCase;5;4;false;1778;
CamelCase;3;3;true;1676;
CamelCase;8;8;true;2314;
Snake_case;9;9;true;1933;
Snake_case;5;5;true;1911;
Snake_case;2;2;true;1132;
CamelCase;6;6;true;2676;
Snake_case;3;3;true;1052;
CamelCase;1;1;true;1366;
CamelCase;2;1;false;499;
CamelCase;6;6;true;2617;
Snake_case;3;3;true;1517;
