Format;expected_answer;given_answer;is_correct;time_in_milliseconds;
CamelCase;2;2;true;14982;
CamelCase;2;2;true;17472;
Snake_case;1;1;true;8037;
CamelCase;1;1;true;33022;
Snake_case;1;2;false;21375;
CamelCase;1;1;true;10908;
CamelCase;1;1;true;4016;
Snake_case;1;2;false;29461;
Snake_case;1;1;true;12193;
CamelCase;1;1;true;14778;
Snake_case;2;2;true;25950;
CamelCase;2;2;true;20401;
Snake_case;1;1;true;5745;
CamelCase;1;1;true;20268;
Snake_case;2;2;true;31176;
CamelCase;1;2;false;17049;
Snake_case;1;1;true;10501;
CamelCase;1;2;false;15825;
Snake_case;2;2;true;40518;
Snake_case;1;1;true;12274;
