Format;expected_answer;given_answer;is_correct;time_in_milliseconds;
CamelCase;1;1;true;16180;
CamelCase;1;2;false;17715;
Snake_case;1;2;false;33874;
CamelCase;1;2;false;23831;
Snake_case;1;2;false;44103;
CamelCase;1;1;true;16626;
CamelCase;1;1;true;12002;
Snake_case;2;2;true;26729;
Snake_case;2;2;true;36854;
CamelCase;1;1;true;9089;
Snake_case;2;2;true;24323;
CamelCase;1;2;false;22735;
Snake_case;1;1;true;16792;
CamelCase;2;2;true;31717;
Snake_case;2;2;true;29927;
CamelCase;1;2;false;21832;
Snake_case;1;2;false;52885;
CamelCase;2;2;true;11461;
Snake_case;2;2;true;25776;
Snake_case;2;2;true;40470;
CamelCase;2;2;true;14982;
CamelCase;2;2;true;17472;
Snake_case;1;1;true;8037;
CamelCase;1;1;true;33022;
Snake_case;1;2;false;21375;
CamelCase;1;1;true;10908;
CamelCase;1;1;true;4016;
Snake_case;1;2;false;29461;
Snake_case;1;1;true;12193;
CamelCase;1;1;true;14778;
Snake_case;2;2;true;25950;
CamelCase;2;2;true;20401;
Snake_case;1;1;true;5745;
CamelCase;1;1;true;20268;
Snake_case;2;2;true;31176;
CamelCase;1;2;false;17049;
Snake_case;1;1;true;10501;
CamelCase;1;2;false;15825;
Snake_case;2;2;true;40518;
Snake_case;1;1;true;12274;
