P;Format;expected_answer;given_answer;is_correct;time_in_milliseconds
1;CamelCase;2;2;true;20001
1;CamelCase;2;2;true;24380
1;Snake_case;2;2;true;25151
1;CamelCase;1;1;true;17133
1;Snake_case;1;2;false;10112
1;CamelCase;1;2;false;18180
1;CamelCase;1;1;true;18314
1;Snake_case;1;1;true;8954
1;Snake_case;2;2;true;14053
1;CamelCase;1;2;false;16948
1;Snake_case;2;2;true;14790
1;CamelCase;1;2;false;23833
1;Snake_case;2;2;true;11381
1;CamelCase;2;2;true;10867
1;Snake_case;1;1;true;10513
1;CamelCase;1;1;true;15498
1;Snake_case;1;2;false;16861
1;CamelCase;2;2;true;32581
1;Snake_case;2;2;true;27807
1;Snake_case;1;1;true;19151
2;CamelCase;2;1;false;39831
2;CamelCase;2;1;false;43092
2;Snake_case;1;2;false;37763
2;CamelCase;2;2;true;27763
2;Snake_case;2;2;true;32295
2;CamelCase;2;2;true;30821
2;CamelCase;1;2;false;25525
2;Snake_case;1;2;false;20085
2;Snake_case;1;2;false;40673
2;CamelCase;2;2;true;42957
2;Snake_case;1;1;true;12608
2;CamelCase;2;2;true;22930
2;Snake_case;1;2;false;33214
2;CamelCase;2;2;true;43331
2;Snake_case;2;2;true;19212
2;CamelCase;1;2;false;29528
2;Snake_case;2;2;true;29288
2;CamelCase;2;2;true;22186
2;Snake_case;1;1;true;34155
2;Snake_case;2;2;true;26631
3;CamelCase;2;2;true;19303
3;CamelCase;1;1;true;10607
3;Snake_case;2;2;true;25806
3;CamelCase;1;1;true;20961
3;Snake_case;1;1;true;13349
3;CamelCase;2;2;true;23467
3;CamelCase;1;2;false;22311
3;Snake_case;2;2;true;21070
3;Snake_case;1;2;false;17570
3;CamelCase;2;2;true;24711
3;Snake_case;2;2;true;31221
3;CamelCase;1;2;false;27769
3;Snake_case;1;2;false;26643
3;CamelCase;2;2;true;20824
3;Snake_case;2;2;true;8959
3;CamelCase;2;2;true;27813
3;Snake_case;1;1;true;24927
3;CamelCase;1;2;false;22009
3;Snake_case;1;2;false;21995
3;Snake_case;1;1;true;8331
4;CamelCase;2;1;false;2963
4;CamelCase;1;1;true;2347
4;Snake_case;1;1;true;427
4;CamelCase;2;1;false;403
4;Snake_case;1;2;false;566
4;CamelCase;2;2;true;1111
4;CamelCase;2;2;true;643
4;Snake_case;1;1;true;388
4;Snake_case;1;1;true;471
4;CamelCase;1;1;true;467
4;Snake_case;2;2;true;866
4;CamelCase;1;2;false;474
4;Snake_case;1;2;false;1104
4;CamelCase;2;1;false;383
4;Snake_case;1;2;false;688
4;CamelCase;1;1;true;737
4;Snake_case;1;1;true;428
4;CamelCase;1;1;true;386
4;Snake_case;2;2;true;1795
4;Snake_case;2;2;true;1059
5;CamelCase;1;1;true;44816
5;CamelCase;2;1;false;40691
5;Snake_case;1;2;false;11085
5;CamelCase;2;2;true;24438
5;Snake_case;1;1;true;3457
5;CamelCase;1;2;false;20550
5;CamelCase;1;2;false;30893
5;Snake_case;2;2;true;32890
5;Snake_case;1;1;true;12349
5;CamelCase;2;1;false;37458
5;Snake_case;2;2;true;48321
5;CamelCase;2;2;true;22987
5;Snake_case;1;1;true;9930
5;CamelCase;1;2;false;28281
5;Snake_case;1;1;true;10241
