Format;expected_answer;given_answer;is_correct;time_in_milliseconds;
CamelCase;3;3;true;1213;
Snake_case;4;4;true;1283;
CamelCase;6;6;true;3121;
Snake_case;4;4;true;1593;
CamelCase;4;4;true;3431;
CamelCase;3;3;true;1416;
Snake_case;6;6;true;2455;
Snake_case;5;5;true;1822;
Snake_case;5;5;true;2354;
Snake_case;5;5;true;2588;
CamelCase;5;5;true;2489;
Snake_case;1;1;true;1259;
CamelCase;5;5;true;2051;
Snake_case;2;2;true;1269;
CamelCase;6;6;true;1890;
Snake_case;5;6;false;2453;
Snake_case;6;6;true;3613;
CamelCase;2;2;true;1276;
Snake_case;5;5;true;2102;
CamelCase;5;5;true;2590;
CamelCase;3;3;true;1459;
CamelCase;4;4;true;2054;
Snake_case;5;5;true;3969;
Snake_case;4;4;true;2056;
Snake_case;6;6;true;3709;
CamelCase;1;1;true;1941;
Snake_case;4;4;true;2928;
Snake_case;6;6;true;4182;
CamelCase;6;6;true;2083;
Snake_case;4;4;true;2133;
Snake_case;3;3;true;3867;
CamelCase;2;2;true;1298;
Snake_case;1;1;true;1523;
CamelCase;5;5;true;1585;
CamelCase;3;3;true;1803;
CamelCase;4;4;true;1625;
CamelCase;6;6;true;1933;
CamelCase;1;1;true;669;
Snake_case;1;1;true;627;
CamelCase;4;4;true;1656;
