Format;expected_answer;given_answer;is_correct;time_in_milliseconds;
CamelCase;5;3;false;17483;
CamelCase;4;3;false;17351;
Snake_case;2;2;true;11873;
CamelCase;4;3;false;18581;
Snake_case;5;5;true;14933;
CamelCase;2;2;true;17872;
CamelCase;1;1;true;11335;
Snake_case;2;1;false;14581;
Snake_case;5;4;false;14481;
CamelCase;4;3;false;20946;
Snake_case;4;4;true;15707;
CamelCase;3;3;true;20180;
Snake_case;2;3;false;30167;
CamelCase;4;4;true;17188;
Snake_case;5;5;true;22716;
CamelCase;1;1;true;32900;
Snake_case;2;2;true;19494;
CamelCase;3;4;false;21173;
Snake_case;1;1;true;13241;
Snake_case;1;1;true;11707;
CamelCase;3;2;false;14420;
CamelCase;4;4;true;16283;
Snake_case;2;2;true;10636;
CamelCase;2;1;false;9682;
Snake_case;1;1;true;28326;
CamelCase;1;1;true;6952;
CamelCase;1;1;true;13869;
Snake_case;3;3;true;13450;
Snake_case;2;3;false;19305;
CamelCase;2;1;false;7832;
Snake_case;2;2;true;15761;
CamelCase;3;3;true;11367;
Snake_case;4;3;false;14211;
CamelCase;2;2;true;15333;
Snake_case;3;2;false;13933;
CamelCase;1;1;true;9454;
Snake_case;5;4;false;16528;
CamelCase;2;1;false;22844;
Snake_case;4;4;true;22081;
Snake_case;4;2;false;17226;
CamelCase;4;3;false;20709;
CamelCase;4;4;true;7949;
Snake_case;1;1;true;20379;
CamelCase;5;4;false;14550;
Snake_case;2;2;true;15656;
CamelCase;5;5;true;13201;
CamelCase;1;1;true;12360;
Snake_case;3;3;true;12528;
Snake_case;2;2;true;12880;
CamelCase;1;1;true;19609;
Snake_case;3;3;true;8074;
CamelCase;1;1;true;12146;
Snake_case;1;1;true;16948;
CamelCase;2;1;false;8626;
Snake_case;1;1;true;11851;
CamelCase;1;1;true;11720;
Snake_case;5;4;false;12133;
CamelCase;2;1;false;25769;
Snake_case;2;2;true;14929;
Snake_case;3;3;true;12572;
